sku,current_stock,snapshot_date
electronic-accessories-15_69,20,2026-03-05
electronic-accessories-99_69,20,2026-03-05
fashion-accessories-88_15,20,2026-03-05
sports-and-travel-27_93,21,2026-03-05
fashion-accessories-55_45,20,2026-03-05
sports-and-travel-42_97,20,2026-03-05
sports-and-travel-17_14,22,2026-03-05
fashion-accessories-58_75,21,2026-03-05
food-and-beverages-87_10,23,2026-03-05
sports-and-travel-98_80,20,2026-03-05
fashion-accessories-48_63,21,2026-03-05
food-and-beverages-57_74,20,2026-03-05
health-and-beauty-17_97,21,2026-03-05
health-and-beauty-47_71,21,2026-03-05
sports-and-travel-40_62,20,2026-03-05
fashion-accessories-56_04,23,2026-03-05
food-and-beverages-93_40,20,2026-03-05
health-and-beauty-73_41,20,2026-03-05
health-and-beauty-33_64,22,2026-03-05
electronic-accessories-45_48,23,2026-03-05
fashion-accessories-83_77,20,2026-03-05
sports-and-travel-64_08,22,2026-03-05
food-and-beverages-73_47,21,2026-03-05
health-and-beauty-58_95,23,2026-03-05
food-and-beverages-48_50,21,2026-03-05
electronic-accessories-39_48,20,2026-03-05
sports-and-travel-34_81,20,2026-03-05
fashion-accessories-49_32,21,2026-03-05
fashion-accessories-21_48,20,2026-03-05
sports-and-travel-23_08,21,2026-03-05
home-and-lifestyle-49_10,20,2026-03-05
sports-and-travel-64_83,20,2026-03-05
home-and-lifestyle-63_56,23,2026-03-05
sports-and-travel-72_88,20,2026-03-05
food-and-beverages-67_10,20,2026-03-05
sports-and-travel-70_19,22,2026-03-05
food-and-beverages-55_04,22,2026-03-05
health-and-beauty-48_63,23,2026-03-05
fashion-accessories-73_38,22,2026-03-05
food-and-beverages-52_60,22,2026-03-05
home-and-lifestyle-87_37,21,2026-03-05
sports-and-travel-27_04,21,2026-03-05
home-and-lifestyle-62_19,21,2026-03-05
electronic-accessories-69_58,22,2026-03-05
home-and-lifestyle-97_50,23,2026-03-05
fashion-accessories-60_41,22,2026-03-05
food-and-beverages-32_32,20,2026-03-05
fashion-accessories-19_77,23,2026-03-05
health-and-beauty-80_47,22,2026-03-05
home-and-lifestyle-88_39,22,2026-03-05
health-and-beauty-71_77,22,2026-03-05
electronic-accessories-43_00,21,2026-03-05
food-and-beverages-68_98,20,2026-03-05
fashion-accessories-15_62,22,2026-03-05
sports-and-travel-25_70,20,2026-03-05
food-and-beverages-80_62,21,2026-03-05
home-and-lifestyle-75_53,21,2026-03-05
electronic-accessories-77_63,22,2026-03-05
health-and-beauty-13_85,22,2026-03-05
fashion-accessories-98_70,22,2026-03-05
health-and-beauty-35_68,21,2026-03-05
fashion-accessories-71_46,22,2026-03-05
electronic-accessories-11_94,20,2026-03-05
fashion-accessories-45_38,20,2026-03-05
fashion-accessories-17_48,21,2026-03-05
fashion-accessories-25_56,22,2026-03-05
sports-and-travel-90_63,22,2026-03-05
home-and-lifestyle-44_12,20,2026-03-05
food-and-beverages-36_77,22,2026-03-05
food-and-beverages-23_34,21,2026-03-05
health-and-beauty-28_50,22,2026-03-05
home-and-lifestyle-55_57,20,2026-03-05
sports-and-travel-69_74,23,2026-03-05
fashion-accessories-97_26,21,2026-03-05
home-and-lifestyle-52_18,22,2026-03-05
fashion-accessories-22_32,22,2026-03-05
health-and-beauty-56_00,20,2026-03-05
fashion-accessories-19_70,20,2026-03-05
electronic-accessories-75_88,22,2026-03-05
food-and-beverages-53_72,20,2026-03-05
health-and-beauty-81_95,23,2026-03-05
home-and-lifestyle-81_20,22,2026-03-05
electronic-accessories-58_76,23,2026-03-05
electronic-accessories-91_56,22,2026-03-05
home-and-lifestyle-93_96,22,2026-03-05
home-and-lifestyle-55_61,22,2026-03-05
food-and-beverages-84_83,20,2026-03-05
sports-and-travel-71_63,20,2026-03-05
home-and-lifestyle-37_69,20,2026-03-05
sports-and-travel-31_67,22,2026-03-05
food-and-beverages-38_42,20,2026-03-05
fashion-accessories-65_23,23,2026-03-05
home-and-lifestyle-10_53,21,2026-03-05
home-and-lifestyle-12_29,22,2026-03-05
health-and-beauty-81_23,22,2026-03-05
food-and-beverages-27_28,21,2026-03-05
electronic-accessories-17_42,23,2026-03-05
home-and-lifestyle-73_28,21,2026-03-05
fashion-accessories-84_87,20,2026-03-05
fashion-accessories-97_29,22,2026-03-05
electronic-accessories-35_74,22,2026-03-05
home-and-lifestyle-96_52,21,2026-03-05
food-and-beverages-18_85,23,2026-03-05
food-and-beverages-55_39,21,2026-03-05
food-and-beverages-77_20,23,2026-03-05
electronic-accessories-72_13,23,2026-03-05
fashion-accessories-63_88,22,2026-03-05
health-and-beauty-10_69,21,2026-03-05
health-and-beauty-55_50,21,2026-03-05
home-and-lifestyle-95_46,22,2026-03-05
fashion-accessories-76_06,20,2026-03-05
sports-and-travel-13_69,21,2026-03-05
electronic-accessories-95_64,21,2026-03-05
home-and-lifestyle-11_43,21,2026-03-05
sports-and-travel-95_54,21,2026-03-05
health-and-beauty-85_87,22,2026-03-05
sports-and-travel-67_99,22,2026-03-05
food-and-beverages-52_42,20,2026-03-05
food-and-beverages-65_65,20,2026-03-05
food-and-beverages-28_86,21,2026-03-05
health-and-beauty-65_31,22,2026-03-05
sports-and-travel-93_38,20,2026-03-05
sports-and-travel-25_25,21,2026-03-05
electronic-accessories-87_87,22,2026-03-05
health-and-beauty-21_80,22,2026-03-05
sports-and-travel-94_76,21,2026-03-05
fashion-accessories-30_62,20,2026-03-05
home-and-lifestyle-44_01,22,2026-03-05
health-and-beauty-10_16,21,2026-03-05
electronic-accessories-74_58,22,2026-03-05
electronic-accessories-71_89,22,2026-03-05
health-and-beauty-10_99,21,2026-03-05
health-and-beauty-60_47,20,2026-03-05
sports-and-travel-58_91,22,2026-03-05
fashion-accessories-46_41,20,2026-03-05
health-and-beauty-68_55,21,2026-03-05
home-and-lifestyle-97_37,23,2026-03-05
electronic-accessories-92_60,22,2026-03-05
electronic-accessories-46_61,20,2026-03-05
fashion-accessories-27_18,20,2026-03-05
home-and-lifestyle-60_87,20,2026-03-05
sports-and-travel-24_49,23,2026-03-05
health-and-beauty-92_78,20,2026-03-05
home-and-lifestyle-86_69,21,2026-03-05
sports-and-travel-23_01,21,2026-03-05
electronic-accessories-30_20,22,2026-03-05
fashion-accessories-67_39,22,2026-03-05
fashion-accessories-48_96,22,2026-03-05
electronic-accessories-75_59,22,2026-03-05
home-and-lifestyle-77_47,21,2026-03-05
sports-and-travel-93_18,20,2026-03-05
electronic-accessories-50_23,21,2026-03-05
health-and-beauty-17_75,20,2026-03-05
fashion-accessories-62_18,23,2026-03-05
health-and-beauty-10_75,22,2026-03-05
electronic-accessories-40_26,23,2026-03-05
sports-and-travel-64_97,21,2026-03-05
electronic-accessories-95_15,20,2026-03-05
electronic-accessories-48_62,22,2026-03-05
food-and-beverages-53_21,22,2026-03-05
fashion-accessories-45_44,22,2026-03-05
food-and-beverages-33_88,22,2026-03-05
health-and-beauty-96_16,21,2026-03-05
food-and-beverages-47_16,21,2026-03-05
home-and-lifestyle-47_68,20,2026-03-05
sports-and-travel-10_17,20,2026-03-05
health-and-beauty-68_71,20,2026-03-05
sports-and-travel-60_08,22,2026-03-05
sports-and-travel-22_01,21,2026-03-05
health-and-beauty-72_11,22,2026-03-05
fashion-accessories-41_28,20,2026-03-05
electronic-accessories-64_95,23,2026-03-05
electronic-accessories-74_22,23,2026-03-05
electronic-accessories-10_56,22,2026-03-05
health-and-beauty-62_57,21,2026-03-05
sports-and-travel-11_85,22,2026-03-05
health-and-beauty-91_30,20,2026-03-05
home-and-lifestyle-40_73,22,2026-03-05
fashion-accessories-52_38,20,2026-03-05
fashion-accessories-38_54,21,2026-03-05
sports-and-travel-44_63,21,2026-03-05
electronic-accessories-55_87,23,2026-03-05
sports-and-travel-29_22,21,2026-03-05
fashion-accessories-51_94,20,2026-03-05
electronic-accessories-60_30,20,2026-03-05
sports-and-travel-39_47,20,2026-03-05
food-and-beverages-14_87,20,2026-03-05
fashion-accessories-21_32,20,2026-03-05
electronic-accessories-93_78,20,2026-03-05
electronic-accessories-73_26,20,2026-03-05
sports-and-travel-22_38,20,2026-03-05
food-and-beverages-72_88,22,2026-03-05
fashion-accessories-99_10,21,2026-03-05
fashion-accessories-74_10,20,2026-03-05
fashion-accessories-98_48,20,2026-03-05
health-and-beauty-53_19,22,2026-03-05
electronic-accessories-52_79,23,2026-03-05
health-and-beauty-95_95,21,2026-03-05
fashion-accessories-36_51,22,2026-03-05
food-and-beverages-21_12,22,2026-03-05
home-and-lifestyle-28_31,21,2026-03-05
health-and-beauty-57_59,21,2026-03-05
food-and-beverages-47_63,22,2026-03-05
home-and-lifestyle-86_27,20,2026-03-05
sports-and-travel-12_76,20,2026-03-05
home-and-lifestyle-11_28,22,2026-03-05
home-and-lifestyle-51_07,22,2026-03-05
electronic-accessories-79_59,20,2026-03-05
health-and-beauty-33_81,20,2026-03-05
sports-and-travel-90_53,22,2026-03-05
health-and-beauty-62_82,20,2026-03-05
food-and-beverages-24_31,20,2026-03-05
sports-and-travel-64_59,21,2026-03-05
food-and-beverages-24_82,22,2026-03-05
fashion-accessories-56_50,20,2026-03-05
electronic-accessories-21_43,23,2026-03-05
sports-and-travel-89_06,21,2026-03-05
home-and-lifestyle-23_29,21,2026-03-05
home-and-lifestyle-65_26,22,2026-03-05
fashion-accessories-52_35,20,2026-03-05
electronic-accessories-39_75,20,2026-03-05
electronic-accessories-90_02,22,2026-03-05
electronic-accessories-12_10,22,2026-03-05
food-and-beverages-33_21,23,2026-03-05
fashion-accessories-10_18,22,2026-03-05
sports-and-travel-31_99,23,2026-03-05
food-and-beverages-83_34,20,2026-03-05
food-and-beverages-87_90,20,2026-03-05
electronic-accessories-73_47,23,2026-03-05
fashion-accessories-12_19,22,2026-03-05
sports-and-travel-76_92,23,2026-03-05
health-and-beauty-83_66,21,2026-03-05
electronic-accessories-57_91,22,2026-03-05
fashion-accessories-92_49,21,2026-03-05
electronic-accessories-28_38,21,2026-03-05
electronic-accessories-50_45,21,2026-03-05
health-and-beauty-99_16,22,2026-03-05
fashion-accessories-60_74,22,2026-03-05
food-and-beverages-47_27,21,2026-03-05
health-and-beauty-85_60,22,2026-03-05
food-and-beverages-35_04,22,2026-03-05
electronic-accessories-44_84,22,2026-03-05
home-and-lifestyle-45_97,21,2026-03-05
health-and-beauty-27_73,21,2026-03-05
food-and-beverages-11_53,22,2026-03-05
health-and-beauty-58_32,20,2026-03-05
health-and-beauty-84_61,23,2026-03-05
health-and-beauty-82_88,21,2026-03-05
food-and-beverages-79_54,20,2026-03-05
home-and-lifestyle-49_01,23,2026-03-05
food-and-beverages-29_15,20,2026-03-05
electronic-accessories-56_13,21,2026-03-05
home-and-lifestyle-93_12,22,2026-03-05
fashion-accessories-51_34,22,2026-03-05
food-and-beverages-99_60,20,2026-03-05
electronic-accessories-35_49,21,2026-03-05
sports-and-travel-42_85,20,2026-03-05
fashion-accessories-94_67,21,2026-03-05
home-and-lifestyle-68_97,20,2026-03-05
home-and-lifestyle-35_79,22,2026-03-05
home-and-lifestyle-16_37,21,2026-03-05
home-and-lifestyle-12_73,20,2026-03-05
sports-and-travel-83_14,22,2026-03-05
sports-and-travel-35_22,21,2026-03-05
electronic-accessories-13_78,21,2026-03-05
sports-and-travel-88_31,20,2026-03-05
health-and-beauty-39_62,22,2026-03-05
electronic-accessories-88_25,22,2026-03-05
sports-and-travel-25_31,20,2026-03-05
home-and-lifestyle-99_92,21,2026-03-05
fashion-accessories-83_35,20,2026-03-05
food-and-beverages-74_44,23,2026-03-05
health-and-beauty-64_08,22,2026-03-05
home-and-lifestyle-63_15,21,2026-03-05
home-and-lifestyle-85_72,20,2026-03-05
health-and-beauty-78_89,22,2026-03-05
sports-and-travel-89_48,21,2026-03-05
health-and-beauty-92_09,20,2026-03-05
food-and-beverages-57_29,21,2026-03-05
food-and-beverages-66_52,21,2026-03-05
home-and-lifestyle-45_68,23,2026-03-05
health-and-beauty-50_79,21,2026-03-05
health-and-beauty-10_08,22,2026-03-05
electronic-accessories-93_88,22,2026-03-05
electronic-accessories-84_25,20,2026-03-05
fashion-accessories-53_78,20,2026-03-05
home-and-lifestyle-35_81,21,2026-03-05
food-and-beverages-26_43,22,2026-03-05
health-and-beauty-39_91,20,2026-03-05
home-and-lifestyle-21_90,20,2026-03-05
food-and-beverages-62_85,21,2026-03-05
food-and-beverages-21_04,21,2026-03-05
home-and-lifestyle-65_91,21,2026-03-05
fashion-accessories-42_57,22,2026-03-05
food-and-beverages-50_49,22,2026-03-05
electronic-accessories-46_02,21,2026-03-05
home-and-lifestyle-15_80,23,2026-03-05
food-and-beverages-98_66,22,2026-03-05
fashion-accessories-91_98,20,2026-03-05
electronic-accessories-20_89,20,2026-03-05
fashion-accessories-15_50,20,2026-03-05
electronic-accessories-96_82,20,2026-03-05
food-and-beverages-33_33,20,2026-03-05
electronic-accessories-38_27,20,2026-03-05
home-and-lifestyle-33_30,22,2026-03-05
home-and-lifestyle-81_01,20,2026-03-05
health-and-beauty-15_80,20,2026-03-05
electronic-accessories-34_49,21,2026-03-05
food-and-beverages-84_63,23,2026-03-05
home-and-lifestyle-36_91,22,2026-03-05
electronic-accessories-87_08,22,2026-03-05
home-and-lifestyle-80_08,20,2026-03-05
fashion-accessories-86_13,20,2026-03-05
fashion-accessories-49_92,20,2026-03-05
food-and-beverages-74_66,21,2026-03-05
food-and-beverages-26_60,21,2026-03-05
electronic-accessories-25_45,20,2026-03-05
food-and-beverages-67_77,20,2026-03-05
food-and-beverages-59_59,21,2026-03-05
health-and-beauty-58_15,21,2026-03-05
sports-and-travel-97_48,22,2026-03-05
health-and-beauty-99_96,22,2026-03-05
electronic-accessories-96_37,22,2026-03-05
fashion-accessories-63_71,21,2026-03-05
health-and-beauty-14_76,20,2026-03-05
health-and-beauty-62_00,22,2026-03-05
electronic-accessories-82_34,23,2026-03-05
health-and-beauty-75_37,22,2026-03-05
food-and-beverages-56_56,21,2026-03-05
sports-and-travel-76_60,23,2026-03-05
electronic-accessories-58_03,20,2026-03-05
fashion-accessories-17_49,23,2026-03-05
electronic-accessories-60_95,20,2026-03-05
health-and-beauty-40_35,20,2026-03-05
home-and-lifestyle-97_38,23,2026-03-05
food-and-beverages-31_84,20,2026-03-05
home-and-lifestyle-65_82,20,2026-03-05
fashion-accessories-88_34,22,2026-03-05
